1000

x:             u:             v:
0.484        0.508594       0.5081149
0.485       0.5076737       0.5071936
0.486       0.5067526       0.5062716
0.487       0.5058308       0.5053487
0.488       0.5049082       0.5044251
0.489       0.5039848       0.5035008
0.49       0.5030607       0.5025757
0.491       0.5021359       0.5016498
0.492       0.5012103       0.5007232
0.493        0.500284       0.4997959
0.494       0.4993569       0.4988678
0.495       0.4984292       0.4979391
0.496       0.4975007       0.4970096
0.497       0.4965715       0.4960794
0.498       0.4956417       0.4951485
0.499       0.4947111        0.494217
0.5       0.4937799       0.4932848
0.501        0.492848       0.4923518
0.502       0.4919154       0.4914183
0.503       0.4909822        0.490484
0.504       0.4900483       0.4895491
0.505       0.4891138       0.4886136
0.506       0.4881786       0.4876774
0.507       0.4872428       0.4867406
0.508       0.4863063       0.4858032
0.509       0.4853693       0.4848651
0.51       0.4844316       0.4839264
0.511       0.4834933       0.4829871
0.512       0.4825544       0.4820472
0.513       0.4816149       0.4811067
0.514       0.4806749       0.4801656
0.515       0.4797342        0.479224
0.516        0.478793       0.4782817
0.517       0.4778511       0.4773389
0.518       0.4769088       0.4763955
0.519       0.4759658       0.4754516
0.52       0.4750223        0.474507
0.521       0.4740782        0.473562
0.522       0.4731336       0.4726164
0.523       0.4721885       0.4716702
0.524       0.4712428       0.4707235
0.525       0.4702966       0.4697763
0.526       0.4693499       0.4688286
0.527       0.4684026       0.4678803
0.528       0.4674549       0.4669315
0.529       0.4665066       0.4659823
0.53       0.4655578       0.4650325
0.531       0.4646085       0.4640822
0.532       0.4636587       0.4631314
0.533       0.4627085       0.4621801
0.534       0.4617577       0.4612284
0.535       0.4608065       0.4602761
0.536       0.4598548       0.4593234
0.537       0.4589026       0.4583702
0.538         0.45795       0.4574166
0.539       0.4569969       0.4564625
0.54       0.4560433       0.4555079
0.541       0.4550893       0.4545529
0.542       0.4541349       0.4535975
0.543         0.45318       0.4526416
0.544       0.4522246       0.4516852
0.545       0.4512689       0.4507284
0.546       0.4503127       0.4497712
0.547        0.449356       0.4488136
0.548        0.448399       0.4478555
0.549       0.4474415       0.4468971
0.55       0.4464837       0.4459382
0.551       0.4455254       0.4449789
0.552       0.4445667       0.4440192
0.553       0.4436076       0.4430591
0.554       0.4426481       0.4420986
0.555       0.4416882       0.4411377
0.556        0.440728       0.4401765
0.557       0.4397673       0.4392148
0.558       0.4388063       0.4382528
0.559       0.4378449       0.4372904
0.56       0.4368831       0.4363276
0.561       0.4359209       0.4353644
0.562       0.4349584       0.4344009
0.563       0.4339955        0.433437
0.564       0.4330323       0.4324727
0.565       0.4320687       0.4315081
0.566       0.4311047       0.4305432
0.567       0.4301404       0.4295779
0.568       0.4291758       0.4286122
0.569       0.4282108       0.4276462
0.57       0.4272455       0.4266799
0.571       0.4262798       0.4257133
0.572       0.4253139       0.4247463
0.573       0.4243475       0.4237789
0.574       0.4233809       0.4228113
0.575       0.4224139       0.4218433
0.576       0.4214467        0.420875
0.577       0.4204791       0.4199064
0.578       0.4195112       0.4189375
0.579        0.418543       0.4179683
0.58       0.4175744       0.4169988
0.581       0.4166056       0.4160289
0.582       0.4156365       0.4150588
0.583       0.4146671       0.4140884
0.584       0.4136973       0.4131177
0.585       0.4127273       0.4121467
0.586       0.4117571       0.4111754
0.587       0.4107865       0.4102038
0.588       0.4098156       0.4092319
0.589       0.4088445       0.4082598
0.59       0.4078731       0.4072873
0.591       0.4069014       0.4063146
0.592       0.4059294       0.4053417
0.593       0.4049572       0.4043684
0.594       0.4039847       0.4033949
0.595       0.4030119       0.4024212
0.596       0.4020389       0.4014471
0.597       0.4010656       0.4004729
0.598       0.4000921       0.3994983
