1000

x:             u:             v:
0.617       0.3809336       0.3809368
0.618       0.3799545       0.3799576
0.619       0.3789751       0.3789783
0.62       0.3779956       0.3779987
0.621       0.3770158        0.377019
0.622       0.3760359        0.376039
0.623       0.3750557       0.3750588
0.624       0.3740754       0.3740785
0.625       0.3730948       0.3730979
0.626       0.3721141       0.3721172
0.627       0.3711331       0.3711362
0.628        0.370152       0.3701551
0.629       0.3691707       0.3691738
0.63       0.3681892       0.3681923
0.631       0.3672076       0.3672106
0.632       0.3662257       0.3662287
0.633       0.3652437       0.3652467
0.634       0.3642614       0.3642645
0.635       0.3632791       0.3632821
0.636       0.3622965       0.3622995
0.637       0.3613137       0.3613168
0.638       0.3603308       0.3603338
0.639       0.3593478       0.3593508
0.64       0.3583645       0.3583675
0.641       0.3573811       0.3573841
0.642       0.3563975       0.3564005
0.643       0.3554138       0.3554167
0.644       0.3544299       0.3544328
0.645       0.3534458       0.3534488
0.646       0.3524616       0.3524645
0.647       0.3514772       0.3514801
0.648       0.3504927       0.3504956
0.649        0.349508       0.3495109
0.65       0.3485232       0.3485261
0.651       0.3475382       0.3475411
0.652        0.346553       0.3465559
0.653       0.3455678       0.3455706
0.654       0.3445823       0.3445852
0.655       0.3435968       0.3435996
0.656        0.342611       0.3426139
0.657       0.3416252        0.341628
0.658       0.3406392        0.340642
0.659        0.339653       0.3396559
0.66       0.3386668       0.3386696
0.661       0.3376804       0.3376832
0.662       0.3366938       0.3366966
0.663       0.3357071       0.3357099
0.664       0.3347203       0.3347231
0.665       0.3337334       0.3337362
0.666       0.3327463       0.3327491
0.667       0.3317591       0.3317619
0.668       0.3307718       0.3307745
0.669       0.3297843       0.3297871
0.67       0.3287968       0.3287995
0.671       0.3278091       0.3278118
0.672       0.3268212        0.326824
0.673       0.3258333        0.325836
0.674       0.3248452        0.324848
0.675       0.3238571       0.3238598
0.676       0.3228688       0.3228715
0.677       0.3218804        0.321883
0.678       0.3208918       0.3208945
0.679       0.3199032       0.3199059
0.68       0.3189144       0.3189171
0.681       0.3179256       0.3179282
0.682       0.3169366       0.3169392
0.683       0.3159475       0.3159502
0.684       0.3149583        0.314961
0.685        0.313969       0.3139716
0.686       0.3129796       0.3129822
0.687       0.3119901       0.3119927
0.688       0.3110005       0.3110031
0.689       0.3100108       0.3100134
0.69        0.309021       0.3090235
0.691        0.308031       0.3080336
0.692        0.307041       0.3070436
0.693       0.3060509       0.3060535
0.694       0.3050607       0.3050632
0.695       0.3040704       0.3040729
0.696         0.30308       0.3030825
0.697       0.3020895        0.302092
0.698       0.3010989       0.3011014
0.699       0.3001082       0.3001107
0.7       0.2991174       0.2991199
0.701       0.2981265        0.298129
0.702       0.2971356        0.297138
0.703       0.2961445        0.296147
0.704       0.2951534       0.2951558
0.705       0.2941621       0.2941646
0.706       0.2931708       0.2931733
0.707       0.2921794       0.2921819
0.708       0.2911879       0.2911904
0.709       0.2901964       0.2901988
0.71       0.2892047       0.2892071
0.711        0.288213       0.2882154
0.712       0.2872212       0.2872236
0.713       0.2862293       0.2862317
0.714       0.2852373       0.2852397
0.715       0.2842452       0.2842476
0.716       0.2832531       0.2832555
0.717       0.2822609       0.2822632
0.718       0.2812686       0.2812709
0.719       0.2802762       0.2802786
0.72       0.2792838       0.2792861
0.721       0.2782913       0.2782936
0.722       0.2772987        0.277301
0.723        0.276306       0.2763083
0.724       0.2753133       0.2753156
0.725       0.2743205       0.2743227
0.726       0.2733276       0.2733299
0.727       0.2723346       0.2723369
0.728       0.2713416       0.2713439
0.729       0.2703485       0.2703508
0.73       0.2693554       0.2693576
0.731       0.2683621       0.2683644
0.732       0.2673688       0.2673711
0.733       0.2663755       0.2663777
0.734       0.2653821       0.2653843
0.735       0.2643886       0.2643908
0.736        0.263395       0.2633972
0.737       0.2624014       0.2624036
0.738       0.2614077       0.2614099
0.739        0.260414       0.2604162
0.74       0.2594202       0.2594223
0.741       0.2584263       0.2584285
0.742       0.2574324       0.2574345
0.743       0.2564384       0.2564405
0.744       0.2554444       0.2554465
0.745       0.2544503       0.2544524
0.746       0.2534561       0.2534582
0.747       0.2524619        0.252464
0.748       0.2514676       0.2514697
0.749       0.2504733       0.2504754
0.75       0.2494789        0.249481
0.751       0.2484844       0.2484865
0.752       0.2474899        0.247492
0.753       0.2464954       0.2464974
0.754       0.2455008       0.2455028
0.755       0.2445061       0.2445082
0.756       0.2435114       0.2435134
0.757       0.2425167       0.2425187
0.758       0.2415218       0.2415239
0.759        0.240527        0.240529
0.76       0.2395321       0.2395341
0.761       0.2385371       0.2385391
0.762       0.2375421       0.2375441
0.763        0.236547        0.236549
0.764       0.2355519       0.2355539
0.765       0.2345567       0.2345587
0.766       0.2335615       0.2335635
0.767       0.2325663       0.2325682
0.768        0.231571       0.2315729
0.769       0.2305756       0.2305775
0.77       0.2295802       0.2295821
0.771       0.2285848       0.2285867
0.772       0.2275893       0.2275912
0.773       0.2265938       0.2265957
0.774       0.2255982       0.2256001
0.775       0.2246026       0.2246044
0.776       0.2236069       0.2236088
0.777       0.2226112       0.2226131
0.778       0.2216155       0.2216173
0.779       0.2206197       0.2206215
0.78       0.2196238       0.2196257
0.781        0.218628       0.2186298
0.782       0.2176321       0.2176339
0.783       0.2166361       0.2166379
0.784       0.2156401       0.2156419
0.785       0.2146441       0.2146459
0.786        0.213648       0.2136498
0.787       0.2126519       0.2126537
0.788       0.2116558       0.2116575
0.789       0.2106596       0.2106614
0.79       0.2096634       0.2096651
0.791       0.2086671       0.2086689
0.792       0.2076708       0.2076726
0.793       0.2066745       0.2066762
0.794       0.2056781       0.2056798
0.795       0.2046817       0.2046834
0.796       0.2036853        0.203687
0.797       0.2026888       0.2026905
0.798       0.2016923        0.201694
0.799       0.2006958       0.2006974
0.8       0.1996992       0.1997009
0.801       0.1987026       0.1987042
0.802       0.1977059       0.1977076
0.803       0.1967093       0.1967109
0.804       0.1957126       0.1957142
0.805       0.1947158       0.1947174
0.806       0.1937191       0.1937207
0.807       0.1927222       0.1927239
0.808       0.1917254        0.191727
0.809       0.1907285       0.1907301
0.81       0.1897317       0.1897332
0.811       0.1887347       0.1887363
0.812       0.1877378       0.1877393
0.813       0.1867408       0.1867423
0.814       0.1857438       0.1857453
0.815       0.1847467       0.1847483
0.816       0.1837497       0.1837512
0.817       0.1827526       0.1827541
0.818       0.1817554       0.1817569
0.819       0.1807583       0.1807598
0.82       0.1797611       0.1797626
0.821       0.1787639       0.1787654
0.822       0.1777666       0.1777681
0.823       0.1767694       0.1767708
0.824       0.1757721       0.1757735
0.825       0.1747747       0.1747762
0.826       0.1737774       0.1737788
0.827         0.17278       0.1727815
0.828       0.1717826       0.1717841
0.829       0.1707852       0.1707866
0.83       0.1697878       0.1697892
0.831       0.1687903       0.1687917
0.832       0.1677928       0.1677942
0.833       0.1667953       0.1667966
0.834       0.1657977       0.1657991
0.835       0.1648001       0.1648015
0.836       0.1638025       0.1638039
0.837       0.1628049       0.1628063
0.838       0.1618073       0.1618086
0.839       0.1608096        0.160811
0.84       0.1598119       0.1598133
0.841       0.1588142       0.1588156
0.842       0.1578165       0.1578178
0.843       0.1568187       0.1568201
0.844        0.155821       0.1558223
0.845       0.1548232       0.1548245
0.846       0.1538254       0.1538266
0.847       0.1528275       0.1528288
0.848       0.1518297       0.1518309
0.849       0.1508318        0.150833
0.85       0.1498339       0.1498351
0.851        0.148836       0.1488372
0.852        0.147838       0.1478392
0.853         0.14684       0.1468413
0.854       0.1458421       0.1458433
0.855       0.1448441       0.1448453
0.856        0.143846       0.1438472
0.857        0.142848       0.1428492
0.858       0.1418499       0.1418511
0.859       0.1408519        0.140853
0.86       0.1398538       0.1398549
0.861       0.1388557       0.1388568
0.862       0.1378575       0.1378587
0.863       0.1368594       0.1368605
0.864       0.1358612       0.1358623
0.865        0.134863       0.1348641
0.866       0.1338648       0.1338659
0.867       0.1328666       0.1328677
0.868       0.1318684       0.1318695
0.869       0.1308701       0.1308712
0.87       0.1298718       0.1298729
0.871       0.1288735       0.1288746
0.872       0.1278752       0.1278763
0.873       0.1268769        0.126878
0.874       0.1258786       0.1258796
0.875       0.1248802       0.1248813
0.876       0.1238819       0.1238829
0.877       0.1228835       0.1228845
0.878       0.1218851       0.1218861
0.879       0.1208867       0.1208877
0.88       0.1198882       0.1198892
0.881       0.1188898       0.1188908
